Features
ALTER
KNR214
KNR153
KNR330
KNR276
KNR160
ATC_M05BB02
KNR282
ATC_C07AB07
GESCHLECHT
ATC_B01AC06
KNR108
KNR109
KNR267
KNR224
KNR164
KNR152
ATC_D07AC01
ATC_N05AD03
ATC_M05BA04
ATC_A12AA04
KNR366
KNR148
KNR149
KNR365
ATC_A11CC05
KNR245
ATC_C03EA01
KNR243
ATC_N02BB02
KNR142
ATC_N05AD01
ATC_A02BC01
KH_KNR342
ATC_N02AX
ATC_J01MA02
ATC_J01CA04
ATC_D07CC01
KNR179
KNR246
KNR187
ATC_R01AA07
ATC_J01FA01
ATC_R05CB06
ATC_J01FA09
KNR16
KNR140
ATC_D07AA03
ATC_D02AF
KNR229
ATC_R06AA02
KNR254
KNR320
KNR184
ATC_M01AE01
KNR241
KNR144
KNR180
ATC_A01AA30
KNR139
KNR339
KNR266
KNR113
KNR263
KNR315
KNR215
KNR261
KNR203
KNR265
KNR270
KNR251
KNR290
ATC_J01EE01
ATC_J01CR02
KNR255
KNR190
KNR277
ATC_J02AC01
ATC_N06AA05
KNR206
KNR18
ATC_G03CC06
KNR257
ATC_R03AK03
KNR183
ATC_R03AC02
ATC_J01DC02
ATC_R01AD09
ATC_D07AD01
ATC_R03BA01
ATC_D10AF02
ATC_A03FA01
ATC_M01AH05
KNR137
KNR111
KNR260
ATC_D01AC20
ATC_N06AB04
ATC_M03BX07
KNR186
KH_KNR111
ATC_M01AB05
ATC_H02AB06
ATC_D07AC14
ATC_R05DA04
KNR2
ATC_N03AX16
ATC_N06BA07
KNR216
KNR115
ATC_N06AX12
ATC_A02BC02
ATC_D07AC18
ATC_N06AA09
ATC_N06AX16
ATC_N06AX22
ATC_C05AD04
ATC_N06AB10
ATC_R06AD02
ATC_N05AF01
ATC_N06AX11
ATC_N02BG07
ATC_R06AX22
ATC_M04AA01
ATC_N02AX02
ATC_C03CA01
ATC_N06AX21
ATC_M01AH01
KNR296
KNR295
ATC_J01DC04
ATC_G03AA09
KNR136
KH_KNR1
ATC_D07AB09
KNR231
ATC_G01AF02
KNR256
KNR101
ATC_J01FA10
KNR253
KNR294
ATC_A06AD65
ATC_D11AH02
KNR235
ATC_D11AX15
KNR177
ATC_C07AG02
KNR173
ATC_H03AA
KNR130
ATC_D07AC13
ATC_C08CA01
ATC_C09AA05
ATC_M05BX04
KNR237
KNR252
ATC_C09CA03
KH_KNR203
ATC_A02BX02
KNR151
ATC_S01BA01
KNR135
KNR298
ATC_S01AX11
ATC_S01CA01
ATC_S01EE04
ATC_C09AA02
KNR357
ATC_J01CE02
ATC_S01EE01
KH_KNR136
KNR274
KNR182
KNR280
KNR32
KNR168
KNR275
KNR286
KNR250
ATC_S02AA15
KH_KNR275
KNR128
ATC_H03AA01
ATC_G03CA03
ATC_N06AX18
ATC_C07BB07
ATC_C10AA01
ATC_C08CA13
ATC_N05BA08
ATC_P01AB01
ATC_C07AB02
KH_KNR214
KNR163
ATC_J01MA12
ATC_J01DD08
KNR161
ATC_C09BA03
KNR25
KNR347
KH_KNR152
ATC_B01AB05
KNR175
ATC_A10BA02
KNR176
ATC_G03AA
ATC_J01AA02
ATC_M01AE02
ATC_D10AF52
KNR360
KNR341
ATC_L01BC52
KNR117
ATC_J01XX01
KNR199
KNR112
ATC_C07AA07
ATC_M05BA03
ATC_N05AG01
ATC_L04AA13
ATC_C03EB01
KNR269
ATC_J01CR50
ATC_N06AA21
ATC_J01CR04
ATC_H02AB07
ATC_A01AB04
ATC_B05BB01
ATC_G03CA04
ATC_H02AB08
ATC_D01AA20
ATC_N02AA55
ATC_N02AA59
ATC_D03BA02
ATC_J01MA14
ATC_J01XE01
ATC_B03BB01
KNR201
KNR125
KNR11
KNR248
KNR292
KNR15
ATC_N03AF01
ATC_M01AC06
ATC_D08AF01
ATC_D06AX
ATC_C08CA05
ATC_B01AA04
ATC_B03BA01
ATC_C03CA04
ATC_M03BX04
KNR334
KNR262
ATC_H02AB14
KH_KNR104
ATC_C03BA10
KNR174
